"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"AI","C3.ai Inc.","NYSE","Technology","Software",,"",59.590,1423086
"BLNK","Blink Charging Co.","NASD","Consumer Discretionary","Special Consumer Services",50.0,"sml",32.570,2431816
"CYCC","Cyclacel Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",,"",7.240,110304
"ELYS","Elys Game Technology, Corp.","NASD","Consumer Discretionary","Gambling",,"",5.150,2234555
"EYEG","Eyegate Pharmaceuticals Inc.","NASD","Health Care","Pharmaceuticals",,"",4.628,27444
"FUBO","fuboTV Inc.","NYSE","Communication Services","Entertainment",13.0,"sml",21.440,10970605
"LAZR","Luminar Technologies, Inc.","NASD","Technology","Software",,"",21.200,11799096
"MVIS","Microvision, Inc.","NASD","Technology","Electronic Equipment",,"",14.330,7497430
"QS","QuantumScape Corporation","NYSE","Consumer Discretionary","Auto Parts",,"",25.130,27507916
"SGTX","Sigilon Therapeutics Inc.","NASD","","",,"",11.710,79285
"SPHS","Sophiris Bio, Inc.","NASD","Health Care","Biotechnology",,"",0.019,118539
"SQFT","Presidio Property Trust, Inc.","NASD","","",,"",3.310,270012
